Ar40 neutron
e- proton
(0.159634,2.46969,2.31377) (-0.0706224,0.00858894,0.0162825)
e- proton
(0.142983,2.53291,5.03816) (-0.0173236,-0.0403691,0.00712056)
e- proton
(0.122878,2.60221,8.05641) (-0.14381,0.0154843,0.258092)
e- proton
(0.0292685,2.92507,21.8928) (0.0353602,0.0127398,0.00445545)
e- proton
(-0.00800581,3.0906,28.7913) (0.153785,0.0484892,0.207288)
e- proton
(-0.0796058,3.39103,41.2928) (-0.00720988,0.0325103,0.00273664)
e- proton
(-0.130519,3.59209,49.6208) (0.0135031,-0.0466321,0.00899928)
e- proton
(-0.255883,4.19587,71.1996) (0.0320937,-0.0163522,0.00489502)
e- proton
(-0.26218,4.23973,72.5678) (-0.0351644,-0.0079793,0.00431034)
e- proton
(-0.336271,4.76363,88.9185) (-0.0358135,-0.0212529,0.00621735)
e- proton
(-0.342931,4.82496,90.8423) (-0.0689423,-0.0702454,0.037085)
e- proton
(-0.352148,4.91855,93.7441) (0.0352846,-0.0328874,0.0088632)
e- proton
(-0.373,5.08988,99.1282) (0.0429781,0.0196442,0.00680294)
e- proton
(-0.381956,5.17064,101.649) (-0.0220982,0.0372045,0.00476988)
e- proton
(-0.400702,5.31447,106.134) (-0.00686979,0.0313688,0.00227547)
e- proton
(-0.402304,5.32485,106.458) (0.0324569,-0.0170971,0.00509873)
e- proton
(-0.450746,5.63167,116.015) (0.0385746,-0.0188983,0.00687965)
e- proton
(-0.465438,5.74001,119.158) (-0.0344835,-0.0136095,0.00476584)
e- proton
(-0.552571,6.34125,136.477) (0.00605937,-0.0353527,0.0054257)
e- proton
(-0.557223,6.37094,137.363) (-0.0331798,-0.0165316,0.00485354)
e- proton
(-0.588579,6.57375,143.388) (-0.0528696,0.0334822,0.0115043)
e- proton
(-0.615165,6.74591,148.518) (0.0832418,0.024084,0.0255723)
e- proton
(-0.749104,7.61154,174.851) (-0.0583582,-0.0300979,0.0151187)
e- proton
(-0.769309,7.72126,178.242) (-0.0316543,-0.00288091,0.00320996)
e- proton
(-0.796605,7.90632,184.102) (-0.0569258,-0.0391308,0.0170842)
e- proton
(-0.799261,7.92213,184.605) (-0.00279694,-0.0325428,0.00447917)
e- proton
(-0.807006,7.97203,186.257) (0.0143366,0.0603251,0.0109212)
e- proton
(-0.813531,8.01526,187.698) (0.0377868,-0.0352085,0.0101193)
e- proton
(-0.814762,8.02275,187.943) (-0.0779872,0.0555356,0.029867)
e- proton
(-0.816272,8.0323,188.257) (-0.0222461,-0.0252473,0.0043502)
e- proton
(-0.910531,8.63876,208.128) (-0.0216395,-0.0246694,0.00412736)
e- proton
(-0.944402,8.86242,215.785) (0.0334064,-0.0122762,0.0046236)
e- proton
(-0.979837,9.06926,223.232) (-0.0348817,-0.00571189,0.00399699)
e- proton
(-0.980569,9.07254,223.357) (0.00680532,0.0884069,0.0246781)
e- proton
(-0.988736,9.10994,224.793) (-0.0610924,-0.0199688,0.0140112)
e- proton
(-1.00039,9.16698,226.981) (-0.0286239,-0.0398337,0.00886223)
e- proton
(-1.04841,9.42288,236.616) (0.0513908,-0.00907394,0.00953543)
e- proton
(-1.05289,9.44463,237.414) (-0.0334258,-0.0239077,0.00599033)
e- proton
(-1.10737,9.71508,247.317) (0.0526013,0.0509131,0.0168943)
e- proton
(-1.11257,9.74359,248.376) (-0.0310546,0.0418316,0.00760217)
e- proton
(-1.21226,10.2918,268.884) (-0.0330098,0.0303238,0.00553076)
e- proton
(-1.22235,10.3382,270.627) (-0.0261757,-0.0190386,0.00375394)
e- proton
(-1.22311,10.3417,270.761) (-0.0499563,-0.0126261,0.00880408)
e- proton
(-1.30127,10.7205,285.109) (0.000228343,-0.0331068,0.00447508)
e- proton
(-1.30555,10.7396,285.814) (-0.0612555,0.0491728,0.0191614)
e- proton
(-1.31109,10.7637,286.715) (0.00842428,-0.0311803,0.00429482)
e- proton
(-1.33954,10.8836,291.175) (0.0126447,0.0295124,0.00261415)
e- proton
(-1.34911,10.9283,292.859) (-0.0365611,0.0429447,0.00909386)
e- proton
(-1.35799,10.9685,294.392) (-0.0142793,0.0438837,0.00570187)
e- proton
(-1.38205,11.076,298.532) (-0.00878382,-0.0498673,0.00975436)
e- proton
(-1.45433,11.4116,311.49) (-0.0153686,0.0314171,0.00304995)
e- proton
(-1.48823,11.5533,317.007) (0.0140031,-0.0288612,0.00421163)
e- proton
(-1.54262,11.7797,325.544) (0.0210773,0.0262416,0.00311943)
e- proton
(-1.55236,11.8198,327.087) (-0.025361,-0.051887,0.0123651)
e- proton
(-1.58164,11.9423,331.756) (0.0380575,0.00842886,0.00495964)
e- proton
(-1.66659,12.3088,346.424) (0.00635501,0.124272,0.0554633)
e- proton
(-1.69529,12.4405,351.61) (0.0450491,0.0865914,0.0314154)
e- proton
(-1.78285,12.9618,371.962) (-0.0368521,-0.00629318,0.0045973)
e- proton
(-1.79301,13.0603,375.721) (-0.00249509,-0.0367745,0.00543023)
e- proton
(-1.8051,13.1678,379.74) (0.0351099,-0.014956,0.00527118)
e- proton
(-1.84572,13.4912,392.171) (0.0474554,0.0496181,0.0146458)
e- proton
(-1.85886,13.5876,395.887) (-0.029307,-0.0129331,0.00357595)
e- proton
(-1.85911,13.5896,395.962) (0.00832626,-0.0315709,0.00434759)
e- proton
(-1.8733,13.698,400.06) (0.032284,-0.00352667,0.00365358)
e- proton
(-1.88514,13.7759,402.99) (-0.0524311,-0.0364319,0.0144818)
e- proton
(-1.8934,13.833,405.15) (-0.0218451,-0.0314803,0.00556606)
e- proton
(-1.97939,14.4623,428.938) (-0.0438366,0.0910912,0.0338434)
e- proton
(-1.99448,14.9241,447.424) (0.00243691,0.0402967,0.00428932)
e- proton
(-1.99799,15.1329,455.643) (0.0312042,0.0168922,0.00364155)
e- proton
(-1.99839,15.5278,470.486) (0.0133704,-0.0371533,0.00611794)
e- proton
(-1.97993,15.8426,481.893) (0.0345932,-0.0115806,0.00451961)
e- proton
(-1.95201,16.0307,488.719) (-0.0650149,0.148545,0.130338)
e- proton
(-1.95134,16.0349,488.878) (0.0551479,0.00677723,0.00981552)
e- proton
(-1.91532,16.2337,496.467) (-0.0276693,0.0402614,0.00704715)
e- e-
e- e-
e- e-
e- e-
e- e-
e- e-
e- e-
e- proton
(-45.7252,-1.13697,77.848) (0.0266819,0.0215265,0.00779753)
e- proton
(-46.216,-1.15148,80.6966) (-0.0190846,0.0602784,0.00706509)
e- proton
(-49.5567,-1.25116,100.091) (0.0394953,0.0441346,0.0164777)
e- proton
(-50.379,-1.28255,104.862) (0.0052524,0.034104,0.00412526)
e- proton
(-52.0911,-1.34409,114.766) (-0.068326,-0.00457573,-0.000137226)
e- proton
(-53.023,-1.37289,120.195) (-0.0172125,-0.0690951,0.00952842)
e- proton
(-53.1903,-1.37745,121.173) (-0.0168227,-0.0287519,-0.00024771)
e- proton
(-60.6775,-1.57889,164.958) (-0.105474,-0.00847809,0.0100237)
e- proton
(-60.9333,-1.58476,166.475) (-0.0243792,0.0246616,-0.00102361)
e- proton
(-62.2581,-1.61447,174.332) (-0.0545495,-0.0037845,-0.0017916)
e- proton
(-64.0706,-1.65661,185.067) (-0.10728,0.026792,0.0124738)
e- proton
(-67.0993,-1.71943,203.015) (-0.0423478,0.0040035,-0.00261698)
e- proton
(-68.2985,-1.75666,210.113) (0.0392498,0.0426221,0.0158145)
e- proton
(-76.6391,-2.0321,259.607) (0.0340216,-0.0204258,0.00973986)
e- proton
(-76.6814,-2.03369,259.859) (0.0387115,0.00566979,0.0106321)
e- proton
(-78.7897,-2.11273,272.4) (-0.067075,-0.0329452,0.00238456)
e- proton
(-79.6132,-2.14586,277.312) (0.0143294,0.0415388,0.0076358)
e- proton
(-86.9712,-2.45331,321.256) (-0.225405,-0.120778,0.214238)
e- proton
(-87.1246,-2.45865,322.166) (0.0349531,-0.00834642,0.00927475)
e- proton
(-92.1992,-2.62647,352.233) (-0.004657,0.0325497,0.00213723)
e- proton
(-92.8089,-2.65053,355.857) (-0.0380482,-0.0154456,-0.00229545)
e- proton
(-97.4367,-2.65211,382.51) (0.0158902,0.0303843,0.00572097)
e- proton
(-101.138,-2.57804,403.409) (0.0668022,-0.0460016,0.030672)
e- proton
(-103.072,-2.54193,414.294) (-0.0228993,-0.0246661,-0.00114932)
e- proton
(-104.411,-2.53063,421.759) (0.0291901,-0.0159094,0.0081715)
e- proton
(-106.642,-2.51382,434.221) (0.0288255,0.0198759,0.00836566)
e- proton
(-109.871,-2.49435,452.282) (0.0312918,0.00811579,0.00838902)
e- proton
(-111.284,-2.49126,460.165) (0.0246472,-0.0243306,0.00754616)
e- proton
(-115.185,-2.48379,482.007) (0.0290037,-0.0292518,0.00960377)
e- proton
(-117.279,-2.49706,493.744) (-0.0410507,0.0496259,0.00309205)
e- proton
(-118.373,-2.50407,499.88) (-0.0629472,-0.000487977,-0.00133615)
e- e-
e- e-
e- e-
